rating,title,review,processed_review
5,Cheaper than my local grocery store outstanding!,You can't beat Starbucks in person but where I'm living we don't have a Starbucks... It's an hour drive! The local grocery stores know it so they charge 2.85 a bottle. I was so happy to find Amazon not only sells them but cheaper than my local grocery store.,"['ca', 'beat', 'starbuck', 'person', ""'m"", 'live', 'starbuck', 'hour', 'drive', 'local', 'groceri', 'store', 'know', 'charg', '2.85', 'bottl', 'happi', 'find', 'amazon', 'sell', 'cheaper', 'local', 'groceri', 'store']"
5,It’s going to be a GOOD MORNING 🌞,The best breakfast in the morning 👍🍶stores that carry this flavor have been hit and miss so this was an awesome way to stock up!,"['best', 'breakfast', 'morn', '👍🍶store', 'carri', 'flavor', 'hit', 'miss', 'awesom', 'way', 'stock']"
5,Oh yum ! My favorite brew,Great tasting and hard to find flavor of Starbucks Frappuccino !,"['great', 'tast', 'hard', 'find', 'flavor', 'starbuck', 'frappuccino']"
5,Fast and great packaging,Box arrived a little dented but their packing is genius. The glass bottles were totally unharmed.,"['box', 'arriv', 'littl', 'dent', 'pack', 'geniu', 'glass', 'bottl', 'total', 'unharm']"
5,This is the best coffee in the morning,Keep ordering it good taste,"['keep', 'order', 'good', 'tast']"
5,Love it!,I love how nice they came in nothing was broken and everything was sorted very neatly!,"['love', 'nice', 'come', 'noth', 'break', 'everyth', 'sort', 'neatli']"
5,Cheaper than buying at the store.,I'm absolutely addicted to these drinks and I have a hard time finding them so I decided to look online and sure enough...just like anything else I could possibly think of...found it on Amazon! If you do the math it's about a dollar cheaper per bottle than buying them at the store. I've ordered several cases now and every time they have arrived on time with not a single bottle broken. No complaints here..,"[""'m"", 'absolut', 'addict', 'drink', 'hard', 'time', 'find', 'decid', 'look', 'onlin', 'sure', 'enough', 'like', 'anyth', 'els', 'could', 'possibl', 'think', 'find', 'amazon', 'math', 'dollar', 'cheaper', 'per', 'bottl', 'buy', 'store', ""'ve"", 'order', 'sever', 'case', 'everi', 'time', 'arriv', 'time', 'singl', 'bottl', 'break', 'complaint', '..']"
5,starbucks frappucino coffee flavor,why is starbucks discontinuing coffee flavor?,"['starbuck', 'discontinu', 'coffe', 'flavor']"
5,cofee,I love the taste of this coffee and the ease of getting it,"['love', 'tast', 'coffe', 'eas', 'get']"
5,The best love em,Great cold coffee,"['great', 'cold', 'coffe']"
5,"About the same price as locally without having to go out to get it, locally $2.50 each plus tax.","I really like the mocha flavor, and these prices are only $0.13 more than I would pay locally. Everything arrived intact, very well packaged.","['realli', 'like', 'mocha', 'flavor', 'price', '0.13', 'would', 'pay', 'local', 'everyth', 'arriv', 'intact', 'well', 'packag']"
5,Great Price Deal for a delicious Coffee Drink,"Starbucks Vanilla Frappuccino are the most popular flavor starbucks offers. Their a good drink chilled or room temperature. Its more milk than coffee, but black coffee effected my stomach. So switching to these and no issues was extremely welcoming. is a great deal for twelve of the 13.7 oz bottles. I pay $2.99 to $3.59 each in town where I live.","['starbuck', 'vanilla', 'frappuccino', 'popular', 'flavor', 'starbuck', 'offer', 'good', 'drink', 'chill', 'room', 'temperatur', 'milk', 'coffe', 'black', 'coffe', 'effect', 'stomach', 'switch', 'issu', 'extrem', 'welcom', 'great', 'deal', 'twelv', '13.7', 'oz', 'bottl', 'pay', '2.99', '3.59', 'town', 'live']"
5,Summer in a bottle,I love this I always keep it on hand,"['love', 'alway', 'keep', 'hand']"
5,No time for lines.,"I love Starbucks frappuccino but I don't always have time to wait in line, I make my own ice shake and go.","['love', 'starbuck', 'frappuccino', 'alway', 'time', 'wait', 'line', 'make', 'ice', 'shake', 'go']"
5,Another flawless delivery,"I am not doubting other users complaints of damaged boxes and broken bottles, just want to say I have ordered this Starbucks liquid coffee 6-7 times now, along with other bottled drinks over time, and have never had one broken bottle yet! Starbucks chilled coffee is great for a quick pick me up in the afternoon..","['doubt', 'user', 'complaint', 'damag', 'box', 'break', 'bottl', 'want', 'say', 'order', 'starbuck', 'liquid', 'coffe', '6-7', 'time', 'along', 'bottl', 'drink', 'time', 'never', 'break', 'bottl', 'yet', 'starbuck', 'chill', 'coffe', 'great', 'quick', 'pick', 'afternoon', '..']"
